country,continent,region,income_group,year,records,avg_screen_time_hours,avg_social_media_hours,avg_sleep_hours,avg_addiction_score,avg_anxiety_score,avg_depression_score,avg_mental_health_risk,avg_digital_wellbeing,cyberbullying_victim_rate,problematic_use_rate,high_mental_health_risk_rate
Afghanistan,Asia,South Asia,Low,2049,98,6.4687,3.4592,7.1723,60.1977,47.78,36.6435,44.227,76.8143,0.1837,0.2041,0.0
Afghanistan,Asia,South Asia,Low,2050,91,6.2548,3.3003,7.2915,57.9943,45.0731,37.0057,42.7508,78.9025,0.1648,0.1099,0.0
Afghanistan,Asia,South Asia,Low,2051,102,6.5459,3.5491,7.1247,60.6869,47.2115,38.3175,44.8819,75.6953,0.2255,0.1765,0.0
Afghanistan,Asia,South Asia,Low,2052,120,6.8604,3.6838,7.0354,62.3877,48.9725,39.6982,45.9704,75.1722,0.1667,0.2833,0.0
Afghanistan,Asia,South Asia,Low,2053,96,6.9227,3.6974,7.016,62.5823,48.8151,38.5284,45.9881,74.7639,0.2083,0.2708,0.0
Afghanistan,Asia,South Asia,Low,2054,107,6.7769,3.7368,7.1621,62.0467,47.4247,38.3754,44.7214,76.1228,0.1776,0.2243,0.0
Afghanistan,Asia,South Asia,Low,2055,96,6.7645,3.6094,7.2105,60.5266,49.1312,36.0894,44.9961,76.0598,0.1979,0.2188,0.0
Afghanistan,Asia,South Asia,Low,2056,98,6.7605,3.5494,7.1282,60.3752,47.1669,37.3347,44.0338,76.9187,0.1531,0.1837,0.0
Afghanistan,Asia,South Asia,Low,2057,104,7.1075,3.7825,6.9707,63.1906,48.9063,37.1777,45.6625,74.329,0.2308,0.2596,0.0
Afghanistan,Asia,South Asia,Low,2058,92,7.1936,3.817,7.0383,63.0418,48.2129,39.88,46.2837,74.3,0.2283,0.3152,0.0
Afghanistan,Asia,South Asia,Low,2059,109,7.5915,4.0135,7.0149,65.9032,49.3694,39.6936,46.9711,72.3449,0.2477,0.3578,0.0
Afghanistan,Asia,South Asia,Low,2060,117,7.3294,3.8867,6.9709,65.8029,49.0986,41.2044,46.832,73.0591,0.2051,0.3761,0.0
Algeria,Africa,North Africa,Lower-middle,2015,102,3.7156,2.0046,7.7531,43.2686,37.8664,30.7831,35.9583,88.0425,0.1275,0.0,0.0
Algeria,Africa,North Africa,Lower-middle,2016,90,3.8318,2.0442,7.7549,45.0093,39.025,30.1126,36.4036,87.6872,0.1222,0.0111,0.0
Algeria,Africa,North Africa,Lower-middle,2017,99,3.8173,2.0369,8.1467,44.1784,37.3559,26.5325,34.2508,89.0953,0.101,0.0,0.0
Algeria,Africa,North Africa,Lower-middle,2018,96,3.7569,2.0104,7.9549,42.7168,37.5669,30.0441,35.2049,89.4669,0.0833,0.0104,0.0
Algeria,Africa,North Africa,Lower-middle,2019,85,4.0393,2.1038,7.8465,44.7082,39.2615,29.2908,36.0322,87.4582,0.1647,0.0,0.0
Algeria,Africa,North Africa,Lower-middle,2020,92,3.9395,2.0825,7.9041,44.7135,38.4243,29.1588,36.338,87.6153,0.163,0.0109,0.0
Algeria,Africa,North Africa,Lower-middle,2021,106,3.9773,2.095,7.8663,44.5375,38.6819,28.9308,35.9896,87.7937,0.1698,0.0189,0.0
Algeria,Africa,North Africa,Lower-middle,2022,94,4.3977,2.3657,7.7662,47.5249,39.3784,29.3283,36.1753,85.9721,0.1915,0.0426,0.0
Algeria,Africa,North Africa,Lower-middle,2023,92,4.3168,2.1866,7.6683,45.555,39.2398,30.9439,37.0932,86.9648,0.1413,0.0217,0.0
Algeria,Africa,North Africa,Lower-middle,2024,115,4.1669,2.2127,7.8384,45.6273,39.4757,29.6204,36.2738,87.0903,0.1478,0.0174,0.0
Algeria,Africa,North Africa,Lower-middle,2025,92,4.188,2.2913,7.6658,46.6182,40.0103,29.9438,37.2746,85.1641,0.2609,0.0109,0.0
Algeria,Africa,North Africa,Lower-middle,2026,120,4.3998,2.3852,7.7572,47.8713,39.9142,29.2847,36.9652,85.7507,0.1583,0.0167,0.0
Algeria,Africa,North Africa,Lower-middle,2027,100,4.94,2.7239,7.6278,51.4519,42.6387,32.1432,39.5248,82.9519,0.2,0.05,0.0
Algeria,Africa,North Africa,Lower-middle,2028,104,4.7679,2.5037,7.7278,49.4337,40.1012,30.6939,37.8641,84.7679,0.1731,0.0096,0.0
Algeria,Africa,North Africa,Lower-middle,2029,108,4.8812,2.5613,7.7439,49.5668,41.0694,30.4416,37.7956,84.9277,0.1667,0.0463,0.0
Algeria,Africa,North Africa,Lower-middle,2030,108,4.7669,2.4976,7.6441,49.5623,41.8217,32.7209,38.9002,84.3111,0.1852,0.0278,0.0
Algeria,Africa,North Africa,Lower-middle,2031,114,4.7744,2.5174,7.709,47.8946,40.7533,30.0475,37.5108,86.0145,0.1228,0.0439,0.0
Algeria,Africa,North Africa,Lower-middle,2032,93,5.1356,2.7145,7.5431,50.6882,41.7218,33.5084,39.4684,82.981,0.1935,0.0323,0.0
Algeria,Africa,North Africa,Lower-middle,2033,118,5.2729,2.7888,7.5289,52.5781,41.9844,32.8011,39.541,82.2531,0.1525,0.0763,0.0
Algeria,Africa,North Africa,Lower-middle,2034,114,5.4037,2.8395,7.5742,52.06,41.1381,33.6046,40.0465,81.9325,0.2281,0.0526,0.0
Algeria,Africa,North Africa,Lower-middle,2035,103,5.126,2.7221,7.5517,52.0446,42.535,33.2098,40.0214,82.9417,0.1262,0.0874,0.0
Algeria,Africa,North Africa,Lower-middle,2036,105,5.484,2.8728,7.577,51.083,41.2378,32.7846,39.139,83.4604,0.1429,0.0286,0.0
Algeria,Africa,North Africa,Lower-middle,2037,91,5.4076,2.8677,7.3449,53.4524,45.753,36.1281,42.1566,81.0441,0.1429,0.0879,0.0
Algeria,Africa,North Africa,Lower-middle,2038,106,5.7422,3.0259,7.4162,54.1334,45.0922,35.6397,41.0354,80.5223,0.2075,0.0849,0.0
Algeria,Africa,North Africa,Lower-middle,2039,99,5.6072,3.0343,7.368,54.976,44.0384,34.7049,41.7216,80.0006,0.2222,0.0707,0.0
Algeria,Africa,North Africa,Lower-middle,2040,95,5.8816,3.0567,7.4281,54.9933,43.9329,35.0272,41.3231,79.9053,0.2211,0.0842,0.0
Algeria,Africa,North Africa,Lower-middle,2041,106,5.8851,3.2555,7.3604,56.2675,44.3618,34.9929,41.5791,79.8724,0.1698,0.1226,0.0
Algeria,Africa,North Africa,Lower-middle,2042,121,6.147,3.3526,7.3196,57.3426,46.2364,37.0414,43.4543,78.9407,0.2066,0.1488,0.0
Algeria,Africa,North Africa,Lower-middle,2043,87,6.1072,3.2989,7.2824,57.8644,46.4071,38.39,44.5701,77.7571,0.1839,0.1609,0.0
Algeria,Africa,North Africa,Lower-middle,2044,100,6.1233,3.1836,7.314,56.4377,44.5082,36.7413,41.968,79.3718,0.16,0.14,0.0
Algeria,Africa,North Africa,Lower-middle,2045,100,6.1796,3.3375,7.1848,58.9213,47.1613,38.5558,44.6376,77.172,0.19,0.24,0.0
Algeria,Africa,North Africa,Lower-middle,2046,92,6.3596,3.2889,7.4149,57.8937,45.5812,36.7997,42.9992,79.0897,0.0978,0.2283,0.0
Algeria,Africa,North Africa,Lower-middle,2047,103,6.4368,3.3225,7.2195,57.7875,47.1133,35.8684,43.2985,78.0108,0.1942,0.1553,0.0
Algeria,Africa,North Africa,Lower-middle,2048,106,6.5159,3.5419,7.1753,60.3424,46.8992,38.1245,44.5149,76.372,0.2264,0.217,0.0
Algeria,Africa,North Africa,Lower-middle,2049,92,6.5954,3.551,7.1848,61.0523,46.8293,37.1967,44.1971,76.9593,0.0978,0.1957,0.0
Algeria,Africa,North Africa,Lower-middle,2050,113,6.5696,3.5359,7.1471,60.0758,46.696,37.3362,44.2845,76.5935,0.1593,0.1858,0.0
Algeria,Africa,North Africa,Lower-middle,2051,94,6.8085,3.6639,7.1403,62.67,47.5534,39.2882,44.9969,75.4795,0.2021,0.2021,0.0
Algeria,Africa,North Africa,Lower-middle,2052,89,6.6851,3.5336,7.1351,59.7558,46.9851,36.8665,43.6421,76.4465,0.2247,0.1685,0.0
Algeria,Africa,North Africa,Lower-middle,2053,97,7.0773,3.7738,6.9778,61.8939,48.904,40.2768,46.1678,74.7902,0.2062,0.2577,0.0
Algeria,Africa,North Africa,Lower-middle,2054,96,7.031,3.8394,7.0146,63.3069,47.4567,39.6234,45.5983,74.6173,0.1875,0.2812,0.0104
Algeria,Africa,North Africa,Lower-middle,2055,98,7.1279,3.8328,6.9202,64.0858,49.4345,39.578,46.0399,74.1417,0.1735,0.2653,0.0
Algeria,Africa,North Africa,Lower-middle,2056,133,7.3567,4.0323,6.9439,65.7015,50.4777,41.0342,48.0833,72.4013,0.2105,0.3083,0.0
Algeria,Africa,North Africa,Lower-middle,2057,101,7.4817,4.0893,6.9262,65.5501,49.1901,39.5032,46.4927,72.477,0.297,0.3168,0.0
Algeria,Africa,North Africa,Lower-middle,2058,115,7.3897,3.974,6.9329,65.7417,49.2028,40.2056,46.6444,73.4449,0.1652,0.287,0.0
Algeria,Africa,North Africa,Lower-middle,2059,105,7.5274,4.0595,6.9264,65.6576,51.2517,41.1855,47.7044,72.8184,0.181,0.3429,0.0
Algeria,Africa,North Africa,Lower-middle,2060,99,7.6492,4.1893,6.8736,67.5901,51.4579,41.1967,48.2042,70.4507,0.3131,0.3939,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2015,95,3.2314,1.7687,8.0383,41.2811,35.8007,26.9804,33.8561,90.4716,0.1053,0.0105,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2016,116,3.6723,1.9316,7.8994,42.4556,37.9478,28.6872,34.879,89.4933,0.1034,0.0086,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2017,103,3.7045,2.0329,7.9563,43.3759,38.2831,28.4411,35.4304,88.2626,0.165,0.0097,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2018,111,3.8198,2.0679,7.9996,43.9828,37.6708,29.3322,35.3668,88.8662,0.1081,0.009,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2019,81,3.8189,2.0021,7.8814,43.111,38.284,28.4012,35.1225,88.848,0.1235,0.0123,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2020,109,3.986,2.134,7.8727,44.8213,37.8099,28.4502,35.537,88.3417,0.1101,0.0,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2021,109,4.0621,2.2039,7.6517,46.2749,38.4008,30.3683,36.7628,86.7475,0.1284,0.0183,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2022,111,4.1527,2.1901,7.8026,46.081,39.359,31.435,37.0633,86.9008,0.0991,0.027,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2023,92,4.1441,2.1893,7.7095,45.8791,40.7518,28.9493,36.4608,87.3315,0.0978,0.0435,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2024,105,4.3289,2.3443,7.7913,47.3219,38.4249,30.213,36.7194,86.8234,0.0952,0.0095,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2025,107,4.3999,2.3442,7.7454,47.4297,40.7481,30.4654,37.0867,85.9889,0.1121,0.0093,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2026,124,4.509,2.4499,7.5997,47.4894,40.9607,31.3575,37.9344,85.2577,0.1855,0.0323,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2027,111,4.6076,2.482,7.7531,48.3795,41.2934,32.6432,38.8269,85.8151,0.0811,0.036,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2028,108,4.6816,2.4435,7.732,48.6888,40.3739,32.8748,38.7785,84.9809,0.1667,0.0278,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2029,110,4.9246,2.604,7.6751,49.5348,38.9406,32.974,38.1538,84.2143,0.1909,0.0545,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2030,95,5.0604,2.6256,7.6909,50.5487,41.3154,32.3205,38.9889,83.5634,0.1684,0.0632,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2031,101,5.0059,2.6416,7.5624,49.7177,40.4494,31.2709,38.245,84.1996,0.1683,0.0693,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2032,97,5.0946,2.6762,7.5458,50.4237,40.0292,32.2409,38.8161,83.257,0.2268,0.0515,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2033,110,5.0859,2.7537,7.5816,52.0493,41.8225,32.104,39.5225,82.65,0.1636,0.0636,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2034,91,5.0808,2.7866,7.567,52.736,42.4137,34.6816,40.7295,81.768,0.1978,0.0659,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2035,127,5.4111,2.949,7.4783,54.2546,44.6709,34.0191,40.6517,81.418,0.1654,0.1181,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2036,82,5.453,2.7829,7.5204,52.2724,41.8671,32.6263,39.114,82.4327,0.1951,0.061,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2037,91,5.5123,2.9811,7.3475,54.9003,43.7563,34.3435,41.3626,79.9318,0.2088,0.0879,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2038,127,5.6018,2.9631,7.4746,55.2231,45.0499,32.9643,41.63,80.3142,0.1969,0.0787,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2039,102,5.9781,3.189,7.4212,55.8172,44.4968,34.5348,41.6802,79.4306,0.2549,0.1078,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2040,98,5.731,3.1472,7.3302,55.9154,45.0669,34.5564,41.6778,80.3261,0.1633,0.0918,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2041,94,5.8353,3.1328,7.3643,57.2673,46.3015,35.9979,42.9023,79.3009,0.1383,0.1277,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2042,96,5.9732,3.2049,7.4471,57.2202,44.7192,34.531,41.9,79.4145,0.1771,0.125,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2043,99,6.1924,3.2189,7.246,57.9377,46.056,35.2816,43.0754,78.4426,0.2121,0.1717,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2044,113,6.4145,3.4347,7.114,58.1585,46.6325,38.0699,43.6465,77.4469,0.1947,0.1593,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2045,97,6.3244,3.2559,7.3404,56.7553,44.7479,34.351,42.0744,78.9311,0.2062,0.1134,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2046,121,6.5507,3.5178,7.1279,59.7188,44.9887,39.314,44.435,76.8894,0.1736,0.1983,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2047,98,6.536,3.4787,7.2708,61.2255,47.1016,38.4517,45.136,76.3436,0.1939,0.2245,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2048,122,6.5361,3.5691,7.3067,60.1353,46.7534,38.606,44.8147,76.4918,0.2459,0.2459,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2049,94,6.9098,3.5876,7.0928,59.8816,48.2571,38.095,44.4869,76.6349,0.1489,0.1702,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2050,100,6.6135,3.5145,7.106,60.3617,46.1925,38.8952,44.4084,75.5523,0.28,0.21,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2051,105,6.8862,3.6137,7.0735,60.6775,46.531,38.269,44.6235,76.1089,0.2476,0.2476,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2052,96,7.2477,3.9349,6.9535,65.9985,49.931,41.3573,47.2391,72.1478,0.25,0.3854,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2053,101,6.7997,3.6111,7.2267,60.6876,48.625,38.2046,45.3422,76.0185,0.2376,0.2277,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2054,94,6.9374,3.6772,7.1429,63.6345,49.1337,39.5084,46.1936,74.3706,0.2021,0.3298,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2055,110,7.2498,3.8864,7.0665,63.6792,48.3284,39.3258,46.2688,74.8848,0.1455,0.3364,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2056,92,7.2193,3.9721,6.944,65.2129,48.8017,40.3845,46.8988,72.3578,0.2826,0.337,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2057,95,7.5891,3.9935,6.9566,65.2859,50.3984,39.8921,47.1012,73.3026,0.1263,0.3263,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2058,94,7.4803,4.0319,6.8726,66.2806,50.1133,39.8191,47.3002,72.2507,0.2234,0.4468,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2059,128,7.488,4.0948,6.9206,66.0634,47.9252,40.582,47.193,73.3005,0.1094,0.3281,0.0
Angola,Africa,Sub-Saharan Africa,Lower-middle,2060,103,7.765,4.203,6.8984,68.144,48.6523,40.33,47.9314,70.8218,0.2913,0.4466,0.0
Argentina,South America,Latin America,Upper-middle,2015,107,3.6994,1.9924,7.8262,43.546,37.2326,29.5057,35.2193,88.4021,0.1215,0.0187,0.0
Argentina,South America,Latin America,Upper-middle,2016,105,3.7615,2.0108,7.839,43.2016,37.7334,28.2413,34.8413,88.5767,0.1619,0.0095,0.0
Argentina,South America,Latin America,Upper-middle,2017,130,3.7772,2.0872,7.8673,44.4621,39.49,30.9342,36.2021,87.8959,0.0769,0.0077,0.0
Argentina,South America,Latin America,Upper-middle,2018,89,4.0936,2.1913,7.7573,45.9428,39.4121,31.3803,36.9535,86.9972,0.1461,0.0112,0.0
Argentina,South America,Latin America,Upper-middle,2019,109,3.835,2.0745,7.8795,44.4343,39.3443,28.8105,35.858,87.9978,0.1284,0.0092,0.0
Argentina,South America,Latin America,Upper-middle,2020,97,4.1095,2.1706,7.808,45.8677,39.132,29.2735,36.1099,87.3229,0.1237,0.0103,0.0
Argentina,South America,Latin America,Upper-middle,2021,98,4.3674,2.3321,7.7979,47.315,40.9923,30.4962,37.6562,86.0784,0.1327,0.0306,0.0
Argentina,South America,Latin America,Upper-middle,2022,114,4.2434,2.1548,7.8839,46.4588,38.7561,30.0449,36.4439,86.4147,0.1754,0.0439,0.0
Argentina,South America,Latin America,Upper-middle,2023,97,4.4927,2.4333,7.8679,48.4295,39.5318,30.5616,36.9825,86.2772,0.1031,0.0412,0.0
Argentina,South America,Latin America,Upper-middle,2024,115,4.4648,2.4366,7.7489,48.6866,39.4685,31.6348,37.8412,85.1457,0.1565,0.0348,0.0
Argentina,South America,Latin America,Upper-middle,2025,102,4.6395,2.4772,7.8108,48.5574,39.6283,29.2519,36.9625,86.1204,0.1078,0.0196,0.0
Argentina,South America,Latin America,Upper-middle,2026,107,4.8276,2.5772,7.8221,47.9963,38.6012,31.7581,37.3464,85.5324,0.1682,0.0374,0.0
Argentina,South America,Latin America,Upper-middle,2027,98,4.8383,2.5887,7.5102,48.4387,40.9597,31.7993,38.0409,85.0202,0.0918,0.0408,0.0
Argentina,South America,Latin America,Upper-middle,2028,104,5.0589,2.7578,7.5642,52.182,41.1262,33.2715,39.3819,82.7971,0.1635,0.0962,0.0
Argentina,South America,Latin America,Upper-middle,2029,93,4.6481,2.5457,7.6412,49.0575,41.5802,30.3,37.8033,84.7402,0.1828,0.0323,0.0
Argentina,South America,Latin America,Upper-middle,2030,114,5.034,2.7193,7.5889,51.3154,41.5557,31.6959,39.2715,83.5051,0.1667,0.0263,0.0
Argentina,South America,Latin America,Upper-middle,2031,97,5.177,2.7743,7.6058,52.7038,43.5009,33.7273,40.1062,82.7339,0.1237,0.0309,0.0
Argentina,South America,Latin America,Upper-middle,2032,102,5.1513,2.6906,7.6057,51.6438,41.3364,33.0685,39.5731,83.5963,0.098,0.0686,0.0
Argentina,South America,Latin America,Upper-middle,2033,90,5.1954,2.8212,7.5016,53.8543,45.0938,33.8468,40.638,81.6053,0.1556,0.0778,0.0
Argentina,South America,Latin America,Upper-middle,2034,107,5.6574,3.0615,7.5062,53.498,43.0521,33.4385,40.6662,80.8682,0.2804,0.0467,0.0
Argentina,South America,Latin America,Upper-middle,2035,100,5.6489,3.0112,7.5095,52.8739,43.6152,31.8015,39.8304,81.6442,0.2,0.07,0.0
Argentina,South America,Latin America,Upper-middle,2036,109,5.5325,3.0072,7.3878,53.9725,43.2483,35.0174,40.9149,81.2627,0.1284,0.0642,0.0
Argentina,South America,Latin America,Upper-middle,2037,116,5.733,3.0111,7.2948,53.9213,44.4247,34.927,41.1632,81.1365,0.1638,0.069,0.0
Argentina,South America,Latin America,Upper-middle,2038,113,5.81,3.0771,7.3927,56.3005,44.6417,34.5058,42.0443,79.8958,0.1593,0.1239,0.0
Argentina,South America,Latin America,Upper-middle,2039,112,6.051,3.3318,7.2875,57.6136,46.3426,36.5687,43.3494,78.4097,0.1696,0.125,0.0
Argentina,South America,Latin America,Upper-middle,2040,91,5.8538,3.1873,7.4062,56.8281,44.0158,33.4055,41.8641,79.6824,0.1538,0.1099,0.0
Argentina,South America,Latin America,Upper-middle,2041,84,6.0106,3.1536,7.4271,58.0993,45.1058,36.0351,42.963,78.8406,0.1429,0.1548,0.0
Argentina,South America,Latin America,Upper-middle,2042,98,6.3607,3.416,7.2002,57.8987,46.5799,36.0252,43.3323,77.9351,0.2041,0.1531,0.0
Argentina,South America,Latin America,Upper-middle,2043,100,6.2876,3.347,7.3399,58.5459,46.114,36.6136,43.3793,77.5345,0.22,0.2,0.0
Argentina,South America,Latin America,Upper-middle,2044,100,6.1438,3.3976,7.182,59.0636,45.1852,35.9943,42.8126,77.8625,0.21,0.22,0.0
Argentina,South America,Latin America,Upper-middle,2045,99,6.3396,3.4211,7.2098,58.5098,46.1294,37.6568,43.1275,78.8532,0.1414,0.1919,0.0
Argentina,South America,Latin America,Upper-middle,2046,100,6.4239,3.5189,7.234,58.9195,45.5856,36.4275,43.3241,77.5374,0.2,0.18,0.0
Argentina,South America,Latin America,Upper-middle,2047,112,6.4708,3.4783,7.3372,58.7101,45.7105,36.1724,43.2814,78.3129,0.1696,0.1607,0.0
Argentina,South America,Latin America,Upper-middle,2048,117,6.5467,3.4107,7.2276,59.5289,45.5476,36.4536,43.5243,76.8765,0.2137,0.188,0.0085
